time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-04-14T01:37:50.280Z,-9.4345,118.684,87.16,4.3,mb,,82,3.598,0.64,us,us200026bs,2022-07-28T07:54:05.814Z,"102 km SSE of Dompu, Indonesia",earthquake,6.3,7.5,0.133,16,reviewed,us,us
2015-04-18T11:30:43.600Z,-9.9395,124.7964,12.44,4.1,mb,,109,0.552,0.51,us,us200028ts,2015-06-26T23:15:56.040Z,"56 km E of Soe, Indonesia",earthquake,7.2,4,0.234,5,reviewed,us,us
2015-04-26T10:22:58.420Z,-10.6183,120.3704,53.28,4.2,mb,,79,2.696,0.48,us,us20002bsv,2015-07-03T00:23:42.040Z,"106 km S of Waingapu, Indonesia",earthquake,8.5,8.1,0.128,20,reviewed,us,us
2015-04-26T10:31:25.820Z,-10.6171,120.4136,35,4.3,mb,,74,2.666,0.4,us,us200029cg,2015-07-03T00:23:42.040Z,"107 km S of Waingapu, Indonesia",earthquake,2.2,1.9,0.099,36,reviewed,us,us
2015-04-26T10:36:06.600Z,-10.6178,120.2969,35,4.6,mb,,80,2.746,0.51,us,us200029cj,2015-07-03T00:23:42.040Z,"106 km S of Waingapu, Indonesia",earthquake,6.6,2,0.078,54,reviewed,us,us
2015-04-26T10:38:00.130Z,-10.5892,120.4098,35,5.1,mb,,49,2.648,0.89,us,us200029ci,2015-07-03T00:23:42.040Z,"104 km S of Waingapu, Indonesia",earthquake,3.5,1.8,0.059,98,reviewed,us,us
2015-04-26T10:44:42.490Z,-10.6553,120.4549,35,4.3,mb,,79,2.667,0.66,us,us20002bsw,2015-07-03T00:23:42.040Z,"112 km S of Waingapu, Indonesia",earthquake,5.8,2,0.16,12,reviewed,us,us
2015-04-26T10:55:33.080Z,-10.5788,120.3353,35,4.3,mb,,79,2.692,0.69,us,us200029cp,2015-07-03T00:23:42.040Z,"102 km S of Waingapu, Indonesia",earthquake,7.5,2,0.106,26,reviewed,us,us
2015-04-26T18:15:22.080Z,-10.5898,120.3623,51.18,4.1,mb,,118,2.681,1.35,us,us20002bth,2015-07-03T00:23:43.040Z,"103 km S of Waingapu, Indonesia",earthquake,7.3,11,0.184,8,reviewed,us,us
2015-04-27T23:48:14.690Z,-10.7583,120.3345,51.14,4.1,mb,,84,2.822,0.92,us,us20002bwc,2015-07-03T00:23:45.040Z,"122 km S of Waingapu, Indonesia",earthquake,4.9,10.9,0.233,5,reviewed,us,us
2015-05-01T02:46:22.140Z,-9.4395,112.9109,61.38,5,mb,,44,1.559,1.48,us,us20002al3,2022-07-31T03:15:49.870Z,"136 km S of Dampit, Indonesia",earthquake,6.7,4.9,0.061,86,reviewed,us,us
2015-05-01T15:04:43.910Z,-9.4829,117.645,72.01,4.2,mb,,93,3.594,0.74,us,us20002anx,2015-07-09T22:00:05.040Z,"112 km SSE of Sumbawa Besar, Indonesia",earthquake,9.4,8.2,0.152,12,reviewed,us,us
2015-05-08T17:25:31.550Z,-10.5961,120.3326,33.18,4.1,mb,,83,2.706,0.82,us,us100029gv,2015-07-17T07:06:00.040Z,"104 km S of Waingapu, Indonesia",earthquake,7.2,7.2,0.165,10,reviewed,us,us
2015-05-09T04:18:55.980Z,-9.5715,151.8835,27.28,4.5,mb,,67,4.663,0.54,us,us20002e03,2015-07-17T07:06:01.040Z,"D'Entrecasteaux Islands region",earthquake,9.8,5.8,0.118,22,reviewed,us,us
2015-05-09T04:44:34.570Z,-9.5794,151.8282,34.14,4.4,mb,,126,4.608,0.85,us,us10002as8,2015-07-17T07:06:01.040Z,"170 km ENE of Alotau, Papua New Guinea",earthquake,12.2,4.6,0.131,19,reviewed,us,us
2015-05-09T21:22:11.190Z,-9.5591,112.8361,36.83,4.1,mb,,65,1.691,0.94,us,us10002atj,2015-07-17T07:06:03.040Z,"149 km S of Dampit, Indonesia",earthquake,7.5,8.2,0.12,19,reviewed,us,us
2015-05-10T16:17:48.360Z,-10.0727,109.4248,37.27,4.2,mb,,145,2.405,1.3,us,us10002avf,2015-07-17T07:06:05.040Z,"252 km SSW of Srandakan, Indonesia",earthquake,8.3,6.6,0.199,7,reviewed,us,us
2015-05-12T20:45:26.220Z,-10.3063,119.5586,40.14,4.4,mb,,82,3.12,1.47,us,us20002ess,2015-07-17T07:06:13.040Z,"105 km SW of Waingapu, Indonesia",earthquake,5.5,8.4,0.104,27,reviewed,us,us
2015-05-13T15:14:02.210Z,-9.1465,124.1187,146.92,4.3,mb,,82,0.622,1.33,us,us10002bif,2015-07-17T07:06:15.040Z,"29 km WNW of Pante Makasar, Timor Leste",earthquake,6.9,6.4,0.201,7,reviewed,us,us
2015-05-15T10:30:34.610Z,-9.7201,150.4217,10,5.3,mwb,,26,3.232,1.04,us,us1000298z,2022-07-31T07:03:43.150Z,"65 km N of Alotau, Papua New Guinea",earthquake,6.9,1.7,0.058,29,reviewed,us,us
2015-05-16T13:22:38.270Z,-10.6324,115.8979,39.5,4.3,mb,,109,2.753,1.22,us,us100029s6,2015-07-23T01:04:03.040Z,"211 km S of Lembar, Indonesia",earthquake,8.8,6.6,0.142,14,reviewed,us,us
2015-06-02T04:25:42.130Z,-10.1821,124.6654,51.45,4,mb,,142,0.577,0.71,us,us20002pc8,2015-08-08T00:49:56.040Z,"54 km SE of Soe, Indonesia",earthquake,9.5,10.8,0.259,4,reviewed,us,us
2015-06-02T19:24:39.190Z,-9.2833,125.7952,61.85,4.3,mb,,43,1.578,1.15,us,us20002ldu,2015-08-08T00:50:04.040Z,"34 km SSE of Same, Timor Leste",earthquake,6.5,8.4,0.138,17,reviewed,us,us
2015-06-05T16:38:05.280Z,-9.3155,111.5017,56.12,4.9,mb,,89,1.696,1.33,us,us20002mdr,2022-07-31T11:29:02.013Z,"138 km S of Trenggalek, Indonesia",earthquake,4.2,7.4,0.09,39,reviewed,us,us
